Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Петровский парк;1;40;4;14;Нет аукциона;12 800 000;Реквизиты не проверены
Бульвар Рокоссовского;1;30,3;1;9;Нет аукциона;7 500 000;Документы проверены
Молодёжная;1;37,6;7;17;Нет аукциона;7 850 000;Реквизиты не проверены
Рассказовка;2;47;11;11;Нет аукциона;14 200 000;Документы проверены
Некрасовка;2;65;25;25;Нет аукциона;11 700 000;Реквизиты проверены
Новогиреево;3;75,5;2;14;Нет аукциона;16 700 000;Реквизиты проверены
р-н Северный;2;54;1;2;Нет аукциона;14 000 000;Документы проверены
Улица Горчакова;4;93,1;3;10;Нет аукциона;17 450 000;Документы проверены
Арбатская;4;137;4;5;Нет аукциона;175 000 000;Реквизиты проверены
Улица Старокачаловская;1;33,3;3;24;Нет аукциона;7 300 000;Экологический вклад -81 кг CO₂
Братиславская;1;31,7;6;25;Нет аукциона;9 400 000;Документы проверены
Бауманская;4;110;8;12;Нет аукциона;36 500 000;Реквизиты не проверены
Кунцевская;2;35,1;7;9;Нет аукциона;9 500 000;Реквизиты проверены
Войковская;2;78,7;8;16;Нет аукциона;24 500 000;Документы проверены
Бабушкинская;2;88;6;17;Нет аукциона;20 500 000;Реквизиты не проверены
Царицыно;1;33;6;9;Нет аукциона;8 900 000;Реквизиты не проверены
Маяковская;3;70;5;7;Нет аукциона;30 000 000;Документы проверены
Коммунарка;2;40,2;13;24;Нет аукциона;9 999 999;Реквизиты не проверены
Новые Черёмушки;1;40;10;10;Нет аукциона;17 000 000;Реквизиты не проверены
Аэропорт;4;148,8;31;32;Нет аукциона;55 000 000;Реквизиты не проверены
Молодёжная;1;38,1;9;17;Нет аукциона;7 650 000;Документы проверены
Новохохловская;2;46,2;4;5;Нет аукциона;11 299 000;Реквизиты не проверены
ЦСКА;3;83;11;17;Нет аукциона;29 950 000;Реквизиты не проверены
Саларьево;2;45;22;22;Нет аукциона;14 000 000;Документы проверены
Алтуфьево;3;75,8;2;12;Нет аукциона;15 400 000;Документы проверены
Ростокино;1;38,8;16;17;Нет аукциона;11 500 000;Реквизиты не проверены
Марьино;1;38,5;2;14;Нет аукциона;9 300 000;Экологический вклад -9 кг CO₂
Площадь Гагарина;4;140;3;8;Нет аукциона;49 950 000;Реквизиты не проверены
Тропарёво;3;65;10;12;Нет аукциона;15 300 000;Документы проверены
Стахановская;2;55;4;14;Нет аукциона;16 200 000;Документы проверены
Новаторская;2;37;2;9;Нет аукциона;11 000 000;Документы проверены
Нагорная;3;74;20;25;Нет аукциона;25 500 000;Реквизиты не проверены
Марьино;2;43,3;2;10;Нет аукциона;10 970 000;Реквизиты не проверены
Жулебино;2;52,4;10;12;Нет аукциона;15 000 000;Экологический вклад -31 кг CO₂
Ломоносовский проспект;2;72,5;9;22;Нет аукциона;30 700 000;Реквизиты проверены
Некрасовка;2;53;3;3;Нет аукциона;8 500 000;Реквизиты не проверены
Кузьминки;2;44;1;5;Нет аукциона;10 200 000;Реквизиты не проверены
Смоленская;2;55;4;10;Нет аукциона;33 900 000;Реквизиты проверены
Локомотив;2;69,5;23;39;Нет аукциона;17 500 000;Реквизиты не проверены
Жулебино;1;34,9;9;14;Нет аукциона;7 990 000;Реквизиты проверены
Марьино;3;56,8;8;9;Нет аукциона;14 600 000;Реквизиты не проверены
Алтуфьево;1;37;1;16;Нет аукциона;9 800 000;Реквизиты не проверены
Бибирево;3;65,3;8;12;Нет аукциона;14 200 000;Реквизиты проверены
Орехово;2;50,7;10;12;Нет аукциона;11 700 000;Документы проверены
Водный стадион;1;31,8;4;23;Нет аукциона;13 990 000;Реквизиты не проверены
Некрасовка;2;65;23;25;Нет аукциона;13 350 000;Документы проверены
Первомайская;2;54;9;16;Нет аукциона;11 400 000;Реквизиты не проверены
Рижская;3;83,7;6;13;Нет аукциона;25 000 000;Реквизиты не проверены
Улица Скобелевская;1;37,8;9;17;Нет аукциона;7 000 000;Экологический вклад -1 кг CO₂
Марьино;1;27;2;6;Нет аукциона;9 900 000;Реквизиты не проверены
