Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
ВДНХ;3;55;3;5;Нет аукциона;14 350 000;Реквизиты проверены
Тульская;1;36;2;14;Нет аукциона;10 500 000;Экологический вклад -103 кг CO₂
Бульвар Дмитрия Донского;1;32,7;3;17;Нет аукциона;11 200 000;Документы проверены
Тверская;3;90;2;7;Нет аукциона;67 000 000;Реквизиты проверены
Отрадное;2;44;1;9;Нет аукциона;9 800 000;Реквизиты не проверены
Новаторская;1;45,6;12;25;Нет аукциона;15 300 000;Реквизиты не проверены
Петровский парк;1;31,6;3;8;Нет аукциона;7 000 000;Реквизиты не проверены
Аминьевская;1;32,1;3;5;Нет аукциона;11 900 000;Документы проверены
Нахимовский проспект;2;45;1;9;Нет аукциона;11 400 000;Реквизиты проверены
Народное Ополчение;2;39;3;28;Нет аукциона;24 950 000;Экологический вклад -289 кг CO₂
Марьина Роща;2;38,1;9;12;Нет аукциона;11 500 000;Реквизиты не проверены
Царицыно;1;41,4;9;17;Нет аукциона;9 900 000;Реквизиты проверены
ВДНХ;3;55;3;5;Нет аукциона;14 350 000;Реквизиты проверены
Тульская;1;36;2;14;Нет аукциона;10 500 000;Экологический вклад -103 кг CO₂
Бульвар Дмитрия Донского;1;32,7;3;17;Нет аукциона;11 200 000;Документы проверены
Тверская;3;90;2;7;Нет аукциона;67 000 000;Реквизиты проверены
Отрадное;2;44;1;9;Нет аукциона;9 800 000;Реквизиты не проверены
Аминьевская;1;32,1;3;5;Нет аукциона;11 900 000;Документы проверены
Октябрьское поле;2;64,5;2;6;Нет аукциона;17 450 000;Реквизиты не проверены
Марьина Роща;1;39;5;10;Нет аукциона;12 600 000;Реквизиты не проверены
Медведково;3;58,8;1;9;Нет аукциона;14 950 000;Реквизиты проверены
Давыдково;2;62,6;1;16;Нет аукциона;15 300 000;Экологический вклад -5 кг CO₂
Чертановская;3;62,3;5;12;Нет аукциона;16 500 000;Документы проверены
Рижская;2;49;6;12;Нет аукциона;15 950 000;Реквизиты не проверены
Домодедовская;2;47,2;4;9;Нет аукциона;10 500 000;Реквизиты не проверены
Медведково;2;45;9;9;Нет аукциона;10 249 999;Реквизиты не проверены
Марьино;1;38,8;9;10;Нет аукциона;9 200 000;Документы проверены
Римская;2;72;2;13;Нет аукциона;32 900 000;Документы проверены
Нахимовский проспект;4;73,2;1;14;Нет аукциона;18 900 000;Реквизиты проверены
Водный стадион;2;36;27;29;Нет аукциона;16 800 000;Реквизиты не проверены
Дубровка;1;38,1;7;19;Нет аукциона;22 900 000;Реквизиты не проверены
Менделеевская;2;63,2;2;10;Нет аукциона;82 000 000;Документы проверены
Молодёжная;3;104;15;25;Нет аукциона;23 000 000;Реквизиты не проверены
Рассказовка;2;48;10;11;Нет аукциона;14 990 000;Документы проверены
Первомайская;2;54,3;2;16;Нет аукциона;11 000 000;Экологический вклад -12 кг CO₂
Фонвизинская;2;52;7;14;Нет аукциона;13 900 000;Документы проверены
Перово;2;60;3;7;Нет аукциона;16 990 000;Реквизиты проверены
Некрасовка;2;60;9;17;Нет аукциона;11 000 000;Документы проверены
Измайловская;2;61,5;5;5;Нет аукциона;15 500 000;Реквизиты проверены
Авиамоторная;3;67,2;8;23;Нет аукциона;25 300 000;Документы проверены
Кузьминки;2;55;3;17;Нет аукциона;16 300 000;Реквизиты проверены
Римская;1;32;1;9;Нет аукциона;9 950 000;Реквизиты не проверены
Рязанский проспект;2;51,8;1;16;Нет аукциона;11 000 000;Реквизиты проверены
Аминьевская;2;55,8;6;29;Нет аукциона;18 500 000;Реквизиты проверены
Новопеределкино;3;76,3;15;17;Нет аукциона;15 500 000;Документы проверены
Тверская;3;84,6;3;6;Нет аукциона;52 500 000;Реквизиты проверены
Улица Скобелевская;2;59,2;8;24;Нет аукциона;10 800 000;Экологический вклад -85000 кг CO₂
Кунцевская;3;72,4;6;10;Нет аукциона;15 200 000;Документы проверены
Нижегородская;2;67;25;25;Нет аукциона;22 700 000;Реквизиты не проверены
