Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Дмитровская;4;138;4;59;Нет аукциона;74 000 000;Реквизиты проверены
Ломоносовский проспект;2;37,1;3;9;Нет аукциона;13 900 000;Реквизиты не проверены
Дмитровская;4;132;5;59;Нет аукциона;75 000 000;Реквизиты проверены
Бунинская аллея;2;38;6;8;Нет аукциона;13 400 000;Реквизиты не проверены
Зюзино;2;84;5;31;Нет аукциона;35 950 000;Реквизиты не проверены
Орехово;2;50,7;10;12;Нет аукциона;11 700 000;Реквизиты не проверены
Алтуфьево;2;60;24;25;Нет аукциона;14 300 000;Экологический вклад -19 кг CO₂
Братиславская;2;54;16;26;Нет аукциона;10 800 000;Реквизиты не проверены
Давыдково;1;38;1;14;Нет аукциона;10 500 000;Реквизиты не проверены
Мичуринский проспект;2;56;2;16;Нет аукциона;19 900 000;Реквизиты не проверены
Селигерская;1;38,7;12;14;Нет аукциона;8 760 000;Реквизиты не проверены
Царицыно;2;58,5;8;9;Нет аукциона;14 800 000;Реквизиты не проверены
Селигерская;1;39,6;9;16;Нет аукциона;11 100 000;Реквизиты не проверены
Выхино;3;60;2;9;Нет аукциона;16 000 000;Реквизиты не проверены
Филёвский парк;2;83,2;9;17;Нет аукциона;34 500 000;Реквизиты не проверены
Бульвар Рокоссовского;3;73;10;22;Нет аукциона;32 000 000;Документы проверены
Шоссе Энтузиастов;3;71,4;2;5;Нет аукциона;24 000 000;Документы проверены
Каширская;1;43;13;16;Нет аукциона;6 300 000;Реквизиты не проверены
Раменки;4;97,3;7;22;Нет аукциона;46 000 000;Реквизиты не проверены
Проспект Мира;2;73,7;9;14;Нет аукциона;32 000 000;Реквизиты не проверены
Бабушкинская;1;38,4;14;17;Нет аукциона;11 400 000;Экологический вклад -19 кг CO₂
Улица Скобелевская;2;60,6;10;17;Нет аукциона;10 650 000;Экологический вклад -180 кг CO₂
Бульвар Дмитрия Донского;1;32,7;3;17;Нет аукциона;11 200 000;Документы проверены
Достоевская;2;42;5;5;Нет аукциона;16 300 000;Реквизиты не проверены
Марксистская;1;35;6;8;Нет аукциона;6 500 000;Экологический вклад -398 кг CO₂
Щёлковская;3;52;7;9;Нет аукциона;11 500 000;Реквизиты не проверены
Зюзино;3;75,1;11;16;Нет аукциона;21 800 000;Документы проверены
Проспект Вернадского;2;37,4;4;9;Нет аукциона;12 500 000;Реквизиты не проверены
Технопарк;6;187,2;16;17;Нет аукциона;110 000 000;Реквизиты проверены
Бауманская;1;34,4;4;12;Нет аукциона;15 200 000;Реквизиты не проверены
Юго-Восточная;1;25;8;10;Нет аукциона;3 390 000;Реквизиты проверены
Давыдково;2;36;5;17;Нет аукциона;8 600 000;Реквизиты не проверены
Угрешская;2;49,5;22;30;Нет аукциона;18 900 000;Реквизиты не проверены
Лефортово;4;105;1;6;Нет аукциона;29 000 000;Реквизиты не проверены
Измайлово;1;30,8;8;8;Аукцион;от 5 978 000;Документы проверены
Улица Старокачаловская;1;33,1;12;25;Нет аукциона;7 300 000;Реквизиты не проверены
Давыдково;1;38;3;21;Нет аукциона;12 900 000;Реквизиты не проверены
Петровский парк;1;30;4;5;Нет аукциона;6 200 000;Реквизиты не проверены
Цветной бульвар;3;76,6;2;4;Нет аукциона;44 900 000;Экологический вклад -2 кг CO₂
Полежаевская;2;57;9;16;Нет аукциона;19 500 000;Документы проверены
Молодёжная;1;38;7;16;Нет аукциона;11 998 000;Реквизиты не проверены
Бауманская;1;26,8;10;16;Нет аукциона;6 263 000;Реквизиты проверены
Рассказовка;2;56;7;19;Нет аукциона;10 900 000;Реквизиты проверены
Октябрьское поле;2;35;5;22;Нет аукциона;16 990 000;Экологический вклад -1 кг CO₂
Аэропорт;2;41,5;5;5;Нет аукциона;8 500 000;Реквизиты проверены
Цветной бульвар;3;76,6;2;4;Нет аукциона;44 900 000;Экологический вклад -2 кг CO₂
Раменки;4;97,3;7;22;Нет аукциона;46 000 000;Реквизиты не проверены
