Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Выхино;1;35;5;12;Нет аукциона;8 250 000;Реквизиты не проверены
Новогиреево;1;33;7;12;Нет аукциона;7 600 000;Реквизиты не проверены
Бабушкинская;2;57,2;9;24;Нет аукциона;16 900 000;Реквизиты не проверены
Планерная;2;45,6;4;12;Нет аукциона;14 800 000;Документы проверены
Фили;3;80,2;33;42;Нет аукциона;42 500 000;Экологический вклад -105 кг CO₂
Царицыно;2;50;9;12;Нет аукциона;9 900 000;Реквизиты не проверены
Кантемировская;1;49;5;5;Нет аукциона;6 800 000;Экологический вклад -6040 кг CO₂
Рассказовка;1;34,9;3;10;Нет аукциона;8 100 000;Реквизиты проверены
Новые Черёмушки;2;45,6;4;5;Нет аукциона;12 300 000;Реквизиты не проверены
Щёлковская;1;28;3;9;Нет аукциона;7 300 000;Реквизиты не проверены
Лефортово;2;42,4;9;9;Нет аукциона;5 700 000;Реквизиты не проверены
Улица Скобелевская;2;38,8;15;25;Нет аукциона;8 500 000;Экологический вклад -391 кг CO₂
Некрасовка;2;58,9;7;25;Нет аукциона;13 750 000;Реквизиты проверены
Некрасовка;1;20;2;25;Нет аукциона;3 850 000;Реквизиты проверены
Измайлово;1;30,8;8;8;Аукцион;от 5 900 000;Реквизиты проверены
Улица Скобелевская;1;39;5;14;Нет аукциона;6 900 000;Реквизиты проверены
Новокосино;3;49,5;2;9;Нет аукциона;8 900 000;Реквизиты не проверены
Перово;2;42;7;16;Нет аукциона;10 500 000;Реквизиты не проверены
Сходненская;1;32,7;2;9;Нет аукциона;8 100 000;Реквизиты проверены
Улица Дмитриевского;1;40,7;10;13;Нет аукциона;8 363 000;Реквизиты не проверены
Бабушкинская;2;44;2;9;Нет аукциона;10 300 000;Экологический вклад -82 кг CO₂
Профсоюзная;3;87;24;24;Нет аукциона;30 000 000;Реквизиты не проверены
Косино;1;37,5;11;17;Нет аукциона;9 000 000;Реквизиты не проверены
Братиславская;1;43;6;23;Нет аукциона;10 500 000;Экологический вклад -24 кг CO₂
Улица академика Янгеля;1;23;5;25;Нет аукциона;7 910 000;Документы проверены
Медведково;3;72,7;12;17;Аукцион;от 8 478 400;Реквизиты проверены
Ховрино;3;76,1;13;14;Нет аукциона;16 500 000;Реквизиты не проверены
Селигерская;2;45;8;9;Нет аукциона;11 100 000;Реквизиты проверены
Улица 1905 года;3;67;5;5;Нет аукциона;24 940 000;Реквизиты проверены
Шипиловская;1;32,3;7;9;Нет аукциона;7 900 000;Реквизиты проверены
Народное Ополчение;2;43,9;2;12;Нет аукциона;14 100 000;Документы проверены
Новокосино;2;53,6;12;17;Аукцион;от 3 879 261;Реквизиты проверены
Южная;1;16;3;6;Нет аукциона;2 800 000;Реквизиты проверены
Каширская;1;18;1;5;Нет аукциона;5 300 000;Документы проверены
Алексеевская;2;47;4;7;Нет аукциона;15 000 000;Реквизиты не проверены
Царицыно;1;36,2;11;21;Нет аукциона;9 100 000;Реквизиты проверены
Люблино;2;37,6;2;9;Нет аукциона;10 500 000;Документы проверены
Щёлковская;2;45,1;2;5;Аукцион;от 8 166 000;Реквизиты проверены
Марьино;2;55,6;5;12;Нет аукциона;12 500 000;Экологический вклад -26 кг CO₂
Новогиреево;1;36,4;1;9;Аукцион;от 6 659 000;Реквизиты проверены
Кожуховская;1;38,1;5;6;Нет аукциона;6 490 000;Реквизиты проверены
Царицыно;2;30,7;1;9;Нет аукциона;6 550 000;Реквизиты проверены
Бульвар Рокоссовского;2;43;2;5;Нет аукциона;8 900 000;Экологический вклад -427 кг CO₂
Мякинино;1;38,5;5;12;Нет аукциона;14 750 000;Документы проверены
Юго-Западная;1;20,5;12;23;Нет аукциона;5 300 000;Реквизиты проверены
Шелепиха;2;44;3;4;Нет аукциона;25 950 000;Документы проверены
Селигерская;2;53,5;6;16;Нет аукциона;13 550 000;Реквизиты не проверены
Международная;1;38,6;2;16;Нет аукциона;10 500 000;Реквизиты проверены
Текстильщики;2;38,3;9;12;Нет аукциона;9 500 000;Реквизиты проверены
Щёлковская;2;44,2;2;5;Нет аукциона;8 500 000;Реквизиты не проверены
