Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Аэропорт;2;41,5;5;5;Нет аукциона;8 500 000;Реквизиты не проверены
Давыдково;1;38;3;21;Нет аукциона;12 900 000;Реквизиты не проверены
Орехово;2;50,7;10;12;Нет аукциона;11 700 000;Реквизиты не проверены
Молодёжная;1;38;7;16;Нет аукциона;11 998 000;Реквизиты не проверены
Полежаевская;2;57;9;16;Нет аукциона;19 500 000;Документы проверены
Динамо;1;20,3;2;12;Нет аукциона;3 999 100;Реквизиты проверены
Рассказовка;2;56;7;19;Нет аукциона;10 900 000;Реквизиты проверены
Щёлковская;1;38,4;9;12;Нет аукциона;13 650 000;Реквизиты не проверены
Братиславская;1;40;6;17;Нет аукциона;11 800 000;Реквизиты не проверены
Рассказовка;1;41,9;2;15;Нет аукциона;9 595 000;Реквизиты не проверены
Преображенская площадь;2;55;7;16;Нет аукциона;21 000 000;Реквизиты не проверены
Аннино;1;36,6;10;17;Нет аукциона;10 500 000;Реквизиты не проверены
Люблино;2;58;12;14;Нет аукциона;13 500 000;Реквизиты не проверены
Угрешская;2;64,2;19;28;Нет аукциона;24 950 000;Документы проверены
Жулебино;5;105,3;14;15;Нет аукциона;25 500 000;Документы проверены
Бунинская аллея;2;50,7;2;3;Нет аукциона;11 650 000;Реквизиты не проверены
Алма-Атинская;3;75,3;3;14;Нет аукциона;8 000 000;Реквизиты проверены
Шелепиха;1;41;12;35;Нет аукциона;28 500 000;Реквизиты не проверены
Павелецкая;3;107,2;4;5;Нет аукциона;33 000 000;Реквизиты не проверены
Беляево;1;33,3;1;9;Нет аукциона;9 500 000;Документы проверены
Народное Ополчение;2;51,4;14;17;Нет аукциона;16 000 000;Экологический вклад -8 кг CO₂
Ломоносовский проспект;1;56,7;9;17;Нет аукциона;30 500 000;Реквизиты проверены
Селигерская;2;60;5;17;Нет аукциона;15 700 000;Реквизиты проверены
Минская;2;72;9;16;Нет аукциона;28 500 000;Реквизиты не проверены
Пятницкое шоссе;1;38;10;17;Нет аукциона;9 300 000;Реквизиты проверены
Селигерская;1;38;6;17;Нет аукциона;8 800 000;Реквизиты проверены
Митино;1;38,8;7;12;Нет аукциона;8 500 000;Реквизиты не проверены
Новокосино;1;43;14;14;Нет аукциона;9 950 000;Реквизиты не проверены
Багратионовская;1;31;3;5;Нет аукциона;11 900 000;Реквизиты не проверены
Первомайская;3;57,8;1;9;Нет аукциона;13 500 000;Реквизиты не проверены
Верхние Лихоборы;1;32,8;1;9;Нет аукциона;8 600 000;Реквизиты проверены
Новокосино;2;53,6;12;17;Аукцион;от 3 879 261;Документы проверены
Южная;2;44,3;2;9;Нет аукциона;12 550 000;Экологический вклад -583 кг CO₂
Кунцевская;1;30,2;4;5;Нет аукциона;11 350 000;Экологический вклад -6190 кг CO₂
Беляево;2;32,9;8;15;Нет аукциона;9 800 000;Реквизиты не проверены
Аннино;2;42;3;5;Нет аукциона;7 350 000;Экологический вклад -14800 кг CO₂
Проспект Вернадского;2;47,8;5;12;Нет аукциона;14 500 000;Реквизиты не проверены
Щёлковская;3;52;7;9;Нет аукциона;11 500 000;Реквизиты не проверены
Фонвизинская;1;39,8;9;11;Нет аукциона;11 582 000;Реквизиты не проверены
Фонвизинская;1;40;11;14;Нет аукциона;6 500 000;Реквизиты не проверены
Сходненская;2;42,2;1;9;Нет аукциона;10 900 000;Реквизиты проверены
Медведково;1;36,9;15;22;Нет аукциона;6 990 000;Реквизиты не проверены
Улица Скобелевская;2;55,7;3;19;Нет аукциона;9 500 000;Реквизиты не проверены
Крылатское;1;55;20;24;Нет аукциона;14 700 000;Реквизиты не проверены
Улица Скобелевская;1;39,4;14;25;Нет аукциона;7 450 000;Документы проверены
Новые Черёмушки;2;54;13;16;Нет аукциона;19 200 000;Реквизиты не проверены
Шелепиха;3;108,9;14;28;Нет аукциона;36 990 000;Экологический вклад -73 кг CO₂
Выхино;2;45;7;9;Нет аукциона;10 999 000;Реквизиты не проверены
