Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Ростокино;4;139;3;56;Нет аукциона;28 909 469;Реквизиты проверены
Саларьево;1;34,5;11;22;Нет аукциона;10 800 000;Реквизиты не проверены
Нагорная;2;36,4;5;9;Нет аукциона;13 500 000;Документы проверены
Улица Горчакова;3;133;4;9;Нет аукциона;27 900 000;Документы проверены
Нахимовский проспект;3;64,5;7;12;Нет аукциона;16 290 000;Реквизиты проверены
Ростокино;3;85,1;21;22;Нет аукциона;19 300 000;Документы проверены
Академическая;2;67;35;36;Нет аукциона;29 900 000;Документы проверены
Бульвар Рокоссовского;1;30;3;9;Нет аукциона;12 000 000;Реквизиты не проверены
Бульвар Рокоссовского;1;38,8;6;14;Нет аукциона;10 800 000;Экологический вклад -22 кг CO₂
Локомотив;3;71,1;10;13;Нет аукциона;20 500 000;Реквизиты не проверены
Динамо;2;57,1;5;13;Нет аукциона;25 800 000;Документы проверены
Щёлковская;1;45;1;18;Нет аукциона;11 500 000;Реквизиты не проверены
Улица академика Янгеля;4;62;9;12;Нет аукциона;12 700 000;Экологический вклад -40 кг CO₂
Новослободская;6;234;3;10;Нет аукциона;115 000 000;Документы проверены
Шелепиха;2;69,3;19;23;Нет аукциона;36 000 000;Документы проверены
Медведково;1;41;13;14;Нет аукциона;10 190 000;Документы проверены
Свиблово;1;36;12;14;Нет аукциона;9 900 000;Реквизиты не проверены
Цветной бульвар;3;75,5;4;7;Нет аукциона;37 500 000;Реквизиты проверены
Маяковская;5;118;3;5;Нет аукциона;42 890 000;Реквизиты проверены
Щёлковская;1;40;3;9;Нет аукциона;9 100 000;Документы проверены
Борисово;1;36,7;3;17;Нет аукциона;9 900 000;Реквизиты не проверены
Новогиреево;2;42;3;9;Нет аукциона;11 500 000;Документы проверены
Улица Скобелевская;2;60;17;22;Нет аукциона;11 300 000;Реквизиты проверены
Кузьминки;2;37,5;5;9;Нет аукциона;9 699 999;Документы проверены
Бульвар Дмитрия Донского;2;53,1;5;17;Нет аукциона;12 200 000;Реквизиты проверены
Беломорская;2;57,5;4;9;Нет аукциона;16 250 000;Документы проверены
Минская;3;100;11;53;Нет аукциона;70 000 000;Документы проверены
Балтийская;3;162,5;3;6;Нет аукциона;83 000 000;Реквизиты проверены
Чкаловская;2;50;6;6;Нет аукциона;22 999 999;Экологический вклад -1060 кг CO₂
Алтуфьево;3;96,3;18;22;Нет аукциона;29 000 000;Документы проверены
Перово;2;55,6;17;17;Нет аукциона;15 300 000;Реквизиты проверены
Бунинская аллея;2;53,3;1;10;Нет аукциона;11 500 000;Реквизиты не проверены
Молодёжная;3;114;40;40;Нет аукциона;46 000 000;Реквизиты не проверены
Дубровка;3;86;7;7;Нет аукциона;27 400 000;Документы проверены
Кунцевская;2;35,1;7;9;Нет аукциона;9 500 000;Реквизиты проверены
ВДНХ;2;51;7;17;Нет аукциона;21 000 000;Реквизиты не проверены
Римская;1;37;17;17;Нет аукциона;12 950 000;Реквизиты не проверены
Зорге;2;59,6;4;4;Нет аукциона;18 000 000;Реквизиты проверены
Авиамоторная;4;101,9;6;7;Нет аукциона;25 100 000;Документы проверены
Смоленская;3;85,6;16;16;Нет аукциона;65 000 000;Реквизиты проверены
Бибирево;3;60,6;9;9;Нет аукциона;12 700 000;Реквизиты проверены
Домодедовская;2;54;4;24;Нет аукциона;17 500 000;Экологический вклад -13 кг CO₂
Крымская;3;62,6;17;17;Нет аукциона;16 000 000;Документы проверены
Бауманская;3;59;5;9;Нет аукциона;17 200 000;Реквизиты проверены
Ростокино;4;139;3;56;Нет аукциона;28 909 469;Реквизиты проверены
Ростокино;4;139;3;56;Нет аукциона;28 909 469;Реквизиты проверены
Новоясеневская;3;68,6;7;9;Нет аукциона;14 900 000;Документы проверены
Селигерская;2;45;9;9;Нет аукциона;12 500 000;Документы проверены
